Ім'я,Варіанти
Юнія,Юна
Юстина,Устина
Юхимія,Юхимина Юхима Хима
Явдоха,Євдокія
Ядвіга,
Яна,Іванна Іванна Янка
Яніна,
Ярина,
Яромира,Яра
Ярослава,Слава
